Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2017-02-19,Sun,14:00 ,Karviná,Mladá Boleslav,1,1,Městský stadion,Karel Hrubes
2017-02-19,Sun,14:00 ,Hradec Králové,Dukla Prague,0,2,Všesportovní stadion,Radek Příhoda
2017-02-19,Sun,17:30 ,Sparta Prague,Bohemians 1905,1,0,Generali Arena,Petr Ardeleánu
2017-02-20,Mon,17:00 ,Slovan Liberec,Fastav Zlín,0,0,Stadion u Nisy,Pavel Královec
2017-02-24,Fri,18:00 ,Vysočina Jihlava,Hradec Králové,3,1,Stadion v Jiráskově ulici,Karel Hrubes
2017-02-25,Sat,13:30 ,Dukla Prague,Karviná,0,0,Stadion Juliska,Emanuel Marek
2017-02-25,Sat,16:00 ,Zbrojovka Brno,Slovan Liberec,1,0,Městský fotbalový stadion Srbská,Radek Příhoda
2017-02-25,Sat,16:30 ,Bohemians 1905,Slovácko,0,0,Stadion Ďolíček,Pavel Orel
2017-02-25,Sat,17:00 ,Fastav Zlín,Viktoria Plzeň,0,0,Stadion Letná,Zbyněk Proske
2017-02-25,Sat,19:15 ,Příbram,Slavia Prague,1,8,Energon Aréna,Paval Julínek
2017-02-26,Sun,17:30 ,Jablonec,Sparta Prague,3,1,Stadion Střelnice,Pavel Královec
2017-03-04,Sat,15:00 ,Jablonec,Bohemians 1905,0,0,Stadion Střelnice,J. Machálek
2017-03-04,Sat,15:00 ,Slovácko,Zbrojovka Brno,0,0,Městský fotbalový stadion Miroslava Vale...,Pavel Franek
2017-03-04,Sat,15:00 ,Teplice,Vysočina Jihlava,1,0,Na Stínadlech,Ondřej Pechanec
2017-03-04,Sat,16:00 ,Hradec Králové,Mladá Boleslav,0,0,Všesportovní stadion,Petr Ardeleánu
2017-03-04,Sat,18:00 ,Sparta Prague,Dukla Prague,1,0,Generali Arena,Karel Hrubes
2017-03-05,Sun,15:00 ,Slovan Liberec,Příbram,2,1,Stadion u Nisy,Zbyněk Proske
2017-03-05,Sun,16:00 ,Slavia Prague,Viktoria Plzeň,1,0,Sinobo Stadium,Radek Příhoda
2017-03-05,Sun,18:00 ,Karviná,Fastav Zlín,1,0,Městský stadion,Paval Julínek
