Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2016-10-01,Sat,15:30 ,Mladá Boleslav,Dukla Prague,1,0,Adidas Aréna,Paval Julínek
2016-10-01,Sat,17:00 ,Příbram,Slovácko,0,1,Energon Aréna,Jiří Houdek
2016-10-01,Sat,17:00 ,Fastav Zlín,Jablonec,2,2,Stadion Letná,Jan Jilek
2016-10-01,Sat,20:05 ,Slavia Prague,Karviná,1,0,Sinobo Stadium,J. Machálek
2016-10-02,Sun,14:30 ,Zbrojovka Brno,Sparta Prague,3,3,Městský fotbalový stadion Srbská,Pavel Královec
2016-10-02,Sun,20:00 ,Viktoria Plzeň,Hradec Králové,4,1,Doosan Arena,Zbyněk Proske
2016-10-14,Fri,20:15 ,Bohemians 1905,Mladá Boleslav,1,3,Stadion Ďolíček,Zbyněk Proske
2016-10-15,Sat,15:00 ,Hradec Králové,Slavia Prague,0,3,Všesportovní stadion,Paval Julínek
2016-10-15,Sat,15:00 ,Karviná,Příbram,2,0,Městský stadion,Karel Hrubes
2016-10-15,Sat,17:00 ,Jablonec,Zbrojovka Brno,1,2,Stadion Střelnice,Petr Ardeleánu
2016-10-15,Sat,17:00 ,Dukla Prague,Slovan Liberec,0,0,Stadion Juliska,Miroslav Zelinka
2016-10-15,Sat,20:15 ,Slovácko,Viktoria Plzeň,1,1,Městský fotbalový stadion Miroslava Vale...,J. Machálek
2016-10-16,Sun,15:00 ,Sparta Prague,Vysočina Jihlava,3,0,Generali Arena,Ondřej Pechanec
2016-10-19,Wed,18:00 ,Zbrojovka Brno,Slavia Prague,1,4,Městský fotbalový stadion Srbská,Pavel Královec
2016-10-21,Fri,18:00 ,Vysočina Jihlava,Dukla Prague,1,1,Stadion v Jiráskově ulici,Ondřej Berka
2016-10-21,Fri,20:15 ,Fastav Zlín,Bohemians 1905,1,1,Stadion Letná,Martin Nenadál
2016-10-22,Sat,15:00 ,Příbram,Jablonec,2,4,Energon Aréna,Pavel Královec
2016-10-22,Sat,17:00 ,Mladá Boleslav,Zbrojovka Brno,3,3,Adidas Aréna,Jan Jilek
2016-10-22,Sat,20:05 ,Slavia Prague,Slovácko,1,0,Sinobo Stadium,Petr Ardeleánu
2016-10-23,Sun,14:00 ,Slovan Liberec,Hradec Králové,2,0,Stadion u Nisy,Radek Příhoda
2016-10-23,Sun,18:00 ,Viktoria Plzeň,Sparta Prague,1,0,Doosan Arena,Karel Hrubes
2016-10-26,Wed,17:00 ,Karviná,Slovan Liberec,0,0,Městský stadion,Jan Jilek
2016-10-29,Sat,15:00 ,Sparta Prague,Příbram,4,0,Generali Arena,Martin Nenadál
2016-10-29,Sat,17:00 ,Zbrojovka Brno,Vysočina Jihlava,1,1,Městský fotbalový stadion Srbská,Radek Příhoda
2016-10-29,Sat,20:15 ,Mladá Boleslav,Fastav Zlín,1,2,Adidas Aréna,Pavel Královec
2016-10-30,Sun,14:30 ,Hradec Králové,Karviná,3,4,Všesportovní stadion,Pavel Franek
2016-10-30,Sun,15:00 ,Jablonec,Slavia Prague,0,0,Stadion Střelnice,Zbyněk Proske
2016-10-30,Sun,15:30 ,Bohemians 1905,Slovan Liberec,2,1,Stadion Ďolíček,Jiří Houdek
2016-10-30,Sun,18:30 ,Dukla Prague,Viktoria Plzeň,0,1,Stadion Juliska,Jan Jilek
2016-11-04,Fri,18:00 ,Vysočina Jihlava,Mladá Boleslav,2,1,Stadion v Jiráskově ulici,J. Machálek
2016-11-05,Sat,15:00 ,Fastav Zlín,Zbrojovka Brno,2,1,Stadion Letná,Jiří Houdek
2016-11-05,Sat,17:00 ,Teplice,Hradec Králové,0,1,Na Stínadlech,Karel Hrubes
2016-11-05,Sat,17:00 ,Příbram,Dukla Prague,3,1,Energon Aréna,Pavel Orel
2016-11-05,Sat,20:05 ,Slavia Prague,Bohemians 1905,1,1,Sinobo Stadium,Jan Jilek
2016-11-06,Sun,15:00 ,Slovan Liberec,Sparta Prague,0,0,Stadion u Nisy,Pavel Franek
2016-11-06,Sun,17:00 ,Karviná,Slovácko,0,1,Městský stadion,Ondřej Berka
2016-11-06,Sun,19:15 ,Viktoria Plzeň,Jablonec,3,1,Doosan Arena,Miroslav Zelinka
2016-11-18,Fri,18:00 ,Vysočina Jihlava,Fastav Zlín,1,3,Stadion v Jiráskově ulici,Petr Ardeleánu
2016-11-18,Fri,20:15 ,Dukla Prague,Slavia Prague,1,2,Stadion Juliska,Pavel Královec
2016-11-19,Sat,15:00 ,Slovácko,Hradec Králové,1,3,Městský fotbalový stadion Miroslava Vale...,Jan Jilek
2016-11-19,Sat,15:00 ,Zbrojovka Brno,Příbram,2,2,Městský fotbalový stadion Srbská,Zbyněk Proske
2016-11-19,Sat,15:00 ,Mladá Boleslav,Viktoria Plzeň,0,0,Adidas Aréna,Pavel Orel
2016-11-19,Sat,18:15 ,Jablonec,Slovan Liberec,3,0,Stadion Střelnice,Karel Hrubes
2016-11-20,Sun,15:00 ,Sparta Prague,Karviná,3,0,Generali Arena,Miroslav Zelinka
2016-11-26,Sat,15:00 ,Karviná,Bohemians 1905,3,0,Městský stadion,J. Machálek
2016-11-26,Sat,15:00 ,Fastav Zlín,Dukla Prague,0,1,Stadion Letná,Paval Julínek
2016-11-26,Sat,15:00 ,Příbram,Vysočina Jihlava,0,0,Energon Aréna,Jan Jilek
2016-11-26,Sat,15:00 ,Slavia Prague,Mladá Boleslav,2,1,Sinobo Stadium,Radek Příhoda
2016-11-27,Sun,13:00 ,Hradec Králové,Sparta Prague,1,2,Všesportovní stadion,Jiří Houdek
2016-11-27,Sun,14:00 ,Slovan Liberec,Slovácko,2,2,Stadion u Nisy,Martin Nenadál
2016-11-27,Sun,18:30 ,Viktoria Plzeň,Zbrojovka Brno,2,0,Doosan Arena,Ondřej Berka
2016-12-02,Fri,20:15 ,Fastav Zlín,Slavia Prague,0,4,Stadion Letná,Karel Hrubes
2016-12-03,Sat,15:00 ,Vysočina Jihlava,Slovan Liberec,1,0,Stadion v Jiráskově ulici,Zbyněk Proske
2016-12-03,Sat,15:00 ,Zbrojovka Brno,Karviná,1,1,Městský fotbalový stadion Srbská,Petr Ardeleánu
2016-12-04,Sun,13:30 ,Dukla Prague,Slovácko,2,3,Stadion Juliska,Pavel Franek
2016-12-04,Sun,15:00 ,Mladá Boleslav,Příbram,2,2,Adidas Aréna,Miroslav Zelinka
2017-02-18,Sat,15:30 ,Teplice,Zbrojovka Brno,1,1,Na Stínadlech,J. Machálek
2017-02-18,Sat,15:30 ,Slovácko,Jablonec,0,0,Městský fotbalový stadion Miroslava Vale...,Jiří Houdek
2017-02-18,Sat,16:30 ,Slavia Prague,Vysočina Jihlava,2,0,Sinobo Stadium,Miroslav Zelinka
2017-02-18,Sat,18:45 ,Viktoria Plzeň,Příbram,1,0,Doosan Arena,Pavel Franek
