player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Jan Kalabiška,cz CZE,"FW,MF",Slovácko,34-022,1986,10,6,585,1,0,0,0,4,1,0.15,0.00,0.15,0.15,0.15
Filip Kaloč,cz CZE,MF,Baník Ostrava,20-321,2000,7,4,319,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lukáš Kalvach,cz CZE,MF,Viktoria Plzeň,25-178,1995,14,14,"1,253",0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Adam Karabec,cz CZE,MF,Sparta Prague,17-195,2003,4,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ondřej Karafiát,cz CZE,DF,Slavia Prague,26-043,1994,5,2,173,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Filip Kaša,cz CZE,DF,Viktoria Plzeň,27-012,1994,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ibrahim Keïta,fr FRA,FW,Bohemians 1905,24-361,1996,10,2,281,1,0,0,0,1,0,0.32,0.00,0.32,0.32,0.32
Olivier Kingue,cm CMR,DF,Příbram,24-328,1996,4,4,273,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Jiří Kladrubský,cz CZE,"DF,MF",České Budĕjov.,35-055,1985,4,3,286,0,1,0,0,2,0,0.00,0.31,0.31,0.00,0.31
Peter Kleščík,sk SVK,DF,Příbram,32-117,1988,7,6,544,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Klíma,cz CZE,DF,Mladá Boleslav,22-138,1998,12,11,893,0,1,0,0,2,0,0.00,0.10,0.10,0.00,0.10
Jiří Klíma,cz CZE,FW,Mladá Boleslav,24-008,1997,6,5,455,4,0,0,0,1,0,0.79,0.00,0.79,0.79,0.79
Jan Kliment,cz CZE,"FW,MF",Slovácko,27-134,1993,13,7,588,2,1,0,0,2,0,0.31,0.15,0.46,0.31,0.46
Jan Knapík,cz CZE,DF,Teplice,20-033,2000,4,0,128,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Milan Knobloch,cz CZE,GK,Slovan Liberec,28-143,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ondřej Kočí,cz CZE,GK,Příbram,25-281,1995,7,7,630,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Ladislav Kodad,cz CZE,MF,Teplice,22-265,1998,3,0,23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petr Kodeš,cz CZE,MF,Teplice,24-348,1996,2,0,92,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michal Kohút,cz CZE,MF,Slovácko,20-223,2000,9,6,474,1,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19
Jakub Kolar,cz CZE,FW,Fastav Zlín,20-363,2000,2,1,91,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Ondřej Kolář,cz CZE,GK,Slavia Prague,26-088,1994,13,13,"1,170",1,1,1,1,0,0,0.08,0.08,0.15,0.00,0.08
Jan Kopic,cz CZE,MF,Viktoria Plzeň,30-223,1990,10,10,738,2,2,0,0,0,0,0.24,0.24,0.49,0.24,0.49
