player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Marko Alvir,hr CRO,MF,Viktoria Plzeň,26-269,1994,9,0,116,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Emmanuel Antwi,gh GHA,DF,Příbram,24-253,1996,8,2,273,2,0,0,0,0,0,0.66,0.00,0.66,0.66,0.66
Oleksandr Azatskyi,ua UKR,DF,Baník Ostrava,27-000,1994,3,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pavol Bajza,sk SVK,GK,Slovácko,29-131,1991,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jakub Barac,cz CZE,MF,Slovan Liberec,24-162,1996,3,1,80,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Damián Bariš,sk SVK,MF,Zbrojovka Brno,26-035,1994,5,3,372,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
David Bartek,cz CZE,MF,Bohemians 1905,32-335,1988,4,4,345,1,0,0,0,0,0,0.26,0.00,0.26,0.26,0.26
Lukáš Bartošák,cz CZE,DF,Karviná,30-194,1990,14,14,"1,172",2,2,0,0,3,0,0.15,0.15,0.31,0.15,0.31
Fortune Bassey,ng NGA,FW,České Budĕjov.,22-099,1998,6,1,112,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jean-David Beauguel,fr FRA,FW,Viktoria Plzeň,28-298,1992,14,5,604,6,1,1,1,0,0,0.89,0.15,1.04,0.75,0.89
Jiří Bederka,cz CZE,DF,Bohemians 1905,25-330,1995,11,10,916,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
František Belej,cz CZE,FW,Příbram,20-319,2000,4,1,99,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vít Beneš,cz CZE,DF,Sigma Olomouc,32-154,1988,3,2,184,0,1,0,0,0,0,0.00,0.49,0.49,0.00,0.49
Michal Beran,cz CZE,MF,Slovan Liberec,20-144,2000,10,7,610,0,2,0,0,0,0,0.00,0.30,0.30,0.00,0.30
Jaromír Blažej,cz CZE,DF,Opava,17-306,2003,1,1,82,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Isaac Boakye,gh GHA,FW,Příbram,23-299,1997,6,0,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marek Boháč,cz CZE,GK,FK Pardubice,32-074,1988,14,14,"1,260",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petr Bolek,cz CZE,GK,Karviná,36-214,1984,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jan Bořil,cz CZE,DF,Slavia Prague,30-002,1991,11,10,890,3,1,0,0,2,0,0.30,0.10,0.40,0.30,0.40
Jakub Brabec,cz CZE,DF,Viktoria Plzeň,28-160,1992,12,12,"1,074",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Patrik Brandner,cz CZE,FW,České Budĕjov.,27-009,1994,13,12,"1,113",5,3,0,0,2,0,0.40,0.24,0.65,0.40,0.65
Radim Breite,cz CZE,MF,Sigma Olomouc,31-156,1989,13,11,984,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09
Pavel Bucha,cz CZE,MF,Viktoria Plzeň,22-308,1998,14,11,"1,014",4,5,1,2,2,0,0.36,0.44,0.80,0.27,0.71
David Buchta,cz CZE,MF,Baník Ostrava,21-200,1999,6,0,39,1,0,0,0,0,0,2.31,0.00,2.31,2.31,2.31
Petr Buchta,cz CZE,DF,Fastav Zlín,28-182,1992,13,13,"1,170",2,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15
Denis Budinsky,cz CZE,MF,Příbram,18-357,2002,3,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lukáš Budínský,cz CZE,MF,Mladá Boleslav,28-292,1992,14,14,"1,239",1,2,0,0,2,0,0.07,0.15,0.22,0.07,0.22
Mick van Buren,nl NED,FW,České Budĕjov.,28-142,1992,8,8,653,1,2,0,0,0,0,0.14,0.28,0.41,0.14,0.41
Cadu,br BRA,DF,FK Pardubice,23-158,1997,12,9,673,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
David Cancola,at AUT,MF,Slovan Liberec,24-082,1996,2,1,83,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Patrik Čavoš,cz CZE,MF,České Budĕjov.,26-006,1995,13,13,"1,149",1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08
Martin Cedidla,cz CZE,DF,Fastav Zlín,19-052,2001,9,4,421,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ondřej Čelůstka,cz CZE,DF,Sparta Prague,31-209,1989,11,11,906,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20
Tomáš Čelůstka,cz CZE,DF,FK Pardubice,29-178,1991,9,9,808,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11
Adrián Čermák,sk SVK,MF,Zbrojovka Brno,27-196,1993,9,6,447,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Aleš Čermák,cz CZE,MF,Viktoria Plzeň,26-104,1994,14,14,"1,082",6,1,2,3,3,0,0.50,0.08,0.58,0.33,0.42
Radim Černický,cz CZE,DF,Slovan Liberec,19-330,2001,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Černín,cz CZE,DF,Zbrojovka Brno,21-340,1999,5,3,339,0,1,0,0,1,0,0.00,0.27,0.27,0.00,0.27
David Černý,cz CZE,FW,Teplice,25-034,1995,13,13,"1,155",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Pavel Černý,cz CZE,FW,FK Pardubice,35-351,1985,10,10,615,0,2,0,0,2,0,0.00,0.29,0.29,0.00,0.29
Matěj Chaluš,cz CZE,DF,Slovan Liberec,22-346,1998,7,4,389,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vakhtang Chanturishvili,ge GEO,MF,Fastav Zlín,27-161,1993,13,13,"1,109",0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08
Tomáš Chorý,cz CZE,FW,Viktoria Plzeň,25-353,1995,2,1,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Chramosta,cz CZE,FW,Jablonec,30-093,1990,2,0,33,1,0,0,0,0,0,2.73,0.00,2.73,2.73,2.73
Ondřej Chvěja,cz CZE,MF,Baník Ostrava,22-180,1998,3,0,74,1,0,0,0,0,0,1.22,0.00,1.22,1.22,1.22
Mojmir Chytil,cz CZE,MF,Sigma Olomouc,21-259,1999,11,5,492,2,0,0,0,0,0,0.37,0.00,0.37,0.37,0.37
Rigino Cicilia,cw CUW,FW,Slovácko,26-112,1994,8,5,504,2,0,1,1,1,0,0.36,0.00,0.36,0.18,0.18
Filip Čihák,cz CZE,DF,FK Pardubice,21-187,1999,5,2,194,0,1,0,0,1,0,0.00,0.46,0.46,0.00,0.46
Lukáš Čmelík,sk SVK,"FW,MF",Karviná,24-275,1996,4,0,76,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mihailo Cmiljanovič,rs SRB,DF,Příbram,26-212,1994,12,12,925,0,2,0,0,0,0,0.00,0.19,0.19,0.00,0.19
Benjamin Čolić,ba BIH,DF,České Budĕjov.,29-174,1991,8,7,603,2,1,1,1,1,0,0.30,0.15,0.45,0.15,0.30
Chris Cortez,us USA,FW,Příbram,32-173,1988,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vladimír Coufal,cz CZE,DF,Slavia Prague,28-144,1992,5,4,367,0,3,0,0,1,0,0.00,0.74,0.74,0.00,0.74
Lukáš Csáno,sk SVK,FW,Slovan Liberec,19-186,2001,2,1,100,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tomáš Čvančara,cz CZE,FW,Jablonec,20-153,2000,9,3,297,1,0,0,0,2,0,0.30,0.00,0.30,0.30,0.30
Kryštof Daněk,cz CZE,MF,Sigma Olomouc,18-008,2003,6,0,55,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vlastimil Daníček,cz CZE,"DF,MF",Slovácko,29-182,1991,12,11,909,4,0,3,3,2,1,0.40,0.00,0.40,0.10,0.10
Denis Darmovzal,cz CZE,MF,Opava,20-180,2000,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dyjan Carlos De Azevedo,br BRA,"FW,MF",Baník Ostrava,29-204,1991,9,9,734,6,2,3,3,0,0,0.74,0.25,0.98,0.37,0.61
Rene Dedic,sk SVK,FW,Opava,27-159,1993,6,2,269,1,0,0,0,0,0,0.33,0.00,0.33,0.33,0.33
Idrissa Diarra,ml MLI,DF,Příbram,22-026,1998,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Joss Didiba,cm CMR,MF,Opava,23-067,1997,9,9,810,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jakub Diviš,cz CZE,GK,Teplice,34-170,1986,2,2,180,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Josef Divíšek,cz CZE,MF,Slovácko,30-111,1990,2,2,145,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Bořek Dočkal,cz CZE,MF,Sparta Prague,32-105,1988,13,13,"1,147",3,3,1,3,2,0,0.24,0.24,0.47,0.16,0.39
Martin Doležal,cz CZE,FW,Jablonec,30-255,1990,11,3,492,4,3,0,0,0,0,0.73,0.55,1.28,0.73,1.28
Oscar Dorley,lr LBR,MF,Slavia Prague,22-178,1998,10,7,647,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Martin Dostál,cz CZE,DF,Bohemians 1905,31-112,1989,7,5,405,1,0,0,0,1,0,0.22,0.00,0.22,0.22,0.22
Stanislav Dostál,cz CZE,GK,Fastav Zlín,29-207,1991,13,13,"1,124",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Doudera,cz CZE,MF,Mladá Boleslav,22-227,1998,11,4,458,0,1,0,0,2,0,0.00,0.20,0.20,0.00,0.20
Soufiane Dramé,fr FRA,MF,Karviná,24-321,1996,11,5,389,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Youba Dramé,fr FRA,MF,Fastav Zlín,22-363,1998,13,8,718,3,2,0,0,2,0,0.38,0.25,0.63,0.38,0.63
Václav Drchal,cz CZE,FW,Mladá Boleslav,21-172,1999,11,4,420,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43
Pavel Dreksa,cz CZE,DF,Zbrojovka Brno,31-118,1989,8,8,720,0,2,0,0,1,0,0.00,0.25,0.25,0.00,0.25
Jaroslav Drobný,cz CZE,GK,České Budĕjov.,41-087,1979,11,11,990,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pinc Dusan,cz CZE,FW,Příbram,22-257,1998,7,2,155,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Miroslav Dvorak,cz CZE,DF,Slovan Liberec,22-026,1998,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lukáš Endl,cz CZE,DF,Zbrojovka Brno,17-210,2003,3,1,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Šimon Falta,cz CZE,MF,Sigma Olomouc,27-265,1993,14,11,975,2,2,0,0,0,0,0.18,0.18,0.37,0.18,0.37
Antonín Fantiš,cz CZE,"FW,MF",Fastav Zlín,28-273,1992,11,9,753,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24
Vilem Fendrich,cz CZE,GK,Opava,29-358,1991,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Daniel Fila,cz CZE,FW,Zbrojovka Brno,18-145,2002,3,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Martin Fillo,cz CZE,"FW,MF",Baník Ostrava,34-341,1986,12,9,876,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jiří Fleišman,cz CZE,DF,Baník Ostrava,36-103,1984,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jiří Floder,cz CZE,GK,Zbrojovka Brno,24-010,1997,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Zdeněk Folprecht,cz CZE,MF,Příbram,29-196,1991,10,10,860,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10
Jan Fortelny,cz CZE,MF,Teplice,21-360,1999,6,6,515,0,1,0,0,1,0,0.00,0.17,0.17,0.00,0.17
Jan Fortelny,cz CZE,MF,Sparta Prague,21-360,1999,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adam Fousek,cz CZE,MF,Zbrojovka Brno,26-311,1994,11,8,639,1,0,0,0,3,0,0.14,0.00,0.14,0.14,0.14
Michal Fukala,cz CZE,DF,Slovan Liberec,20-083,2000,10,5,489,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Fulnek,cz CZE,FW,Mladá Boleslav,26-262,1994,12,10,793,0,1,0,0,2,0,0.00,0.11,0.11,0.00,0.11
Šimon Gabriel,cz CZE,DF,Mladá Boleslav,19-230,2001,4,1,118,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Zoran Gajić,rs SRB,DF,Zbrojovka Brno,30-240,1990,8,7,511,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Pablo González Juárez,es ESP,MF,Sigma Olomouc,27-246,1993,14,12,"1,013",1,0,0,0,3,0,0.09,0.00,0.09,0.09,0.09
Adam Gorčica,cz CZE,MF,Opava,19-232,2001,1,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Martin Graiciar,cz CZE,MF,Mladá Boleslav,21-277,1999,5,2,238,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lukáš Greššák,sk SVK,"DF,MF",Sigma Olomouc,31-356,1989,12,11,994,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18
Tomáš Grigar,cz CZE,GK,Teplice,37-347,1983,7,7,630,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Dávid Guba,sk SVK,FW,Karviná,29-198,1991,7,0,149,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Patrik Haitl,cz CZE,DF,Jablonec,22-318,1998,4,3,251,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pavel Hajek,cz CZE,MF,Příbram,19-163,2001,9,2,273,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Martin Hála,cz CZE,DF,Sigma Olomouc,28-295,1992,14,11,"1,003",2,1,0,0,3,0,0.18,0.09,0.27,0.18,0.27
Dávid Hancko,sk SVK,DF,Sparta Prague,23-031,1997,5,5,423,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21
Marek Hanousek,cz CZE,MF,Karviná,29-160,1991,5,3,220,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Matěj Hanousek,cz CZE,DF,Sparta Prague,27-225,1993,13,10,860,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Hanuš,cz CZE,GK,Jablonec,32-260,1988,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
