Game Week,Weekday,Date,Time,Home Team,Score,Away Team,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
18,Fri,2016-02-19,18:00 ,Vysočina Jihlava,0–0,Slavia Prague,"4,290",Stadion v Jiráskově ulici,Michal Paták,Match Report,
18,Fri,2016-02-19,20:15 ,Viktoria Plzeň,1–0,Teplice,"10,068",Doosan Arena,Emanuel Marek,Match Report,
18,Sat,2016-02-20,14:00 ,Bohemians 1905,1–0,Dukla Prague,"4,872",Stadion Ďolíček,Zbyněk Proske,Match Report,
18,Sat,2016-02-20,14:00 ,Příbram,0–1,Slovácko,"1,827",Energon Aréna,Tomas Kocourek,Match Report,
18,Sat,2016-02-20,14:00 ,Baník Ostrava,3–0,Fastav Zlín,"5,022",Bazaly,Pavel Orel,Match Report,
18,Sat,2016-02-20,14:00 ,Zbrojovka Brno,2–0,Sigma Olomouc,"3,126",Městský fotbalový stadion Srbská,Jiri Jech,Match Report,
18,Sat,2016-02-20,17:30 ,Slovan Liberec,3–2,Jablonec,"4,641",Stadion u Nisy,Radek Příhoda,Match Report,
18,Sun,2016-02-21,15:00 ,Sparta Prague,2–0,Mladá Boleslav,"10,120",Generali Arena,Jan Jilek,Match Report,
,,,,,,,,,,,
19,Sat,2016-02-27,15:00 ,Slovácko,3–1,Vysočina Jihlava,"3,778",Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka,Match Report,
19,Sat,2016-02-27,15:00 ,Teplice,0–3,Slovan Liberec,"4,328",Na Stínadlech,Jiří Houdek,Match Report,
19,Sat,2016-02-27,15:00 ,Fastav Zlín,0–2,Mladá Boleslav,"3,462",Stadion Letná,Jiri Jech,Match Report,
19,Sat,2016-02-27,15:00 ,Příbram,0–0,Bohemians 1905,"2,480",Energon Aréna,Emanuel Marek,Match Report,
19,Sat,2016-02-27,15:00 ,Jablonec,3–0,Zbrojovka Brno,"2,180",Stadion Střelnice,Karel Hrubes,Match Report,
19,Sat,2016-02-27,18:00 ,Sigma Olomouc,0–1,Viktoria Plzeň,"5,176",Andrův stadion,Ondřej Lerch,Match Report,
19,Sun,2016-02-28,17:30 ,Slavia Prague,3–1,Baník Ostrava,"12,985",Sinobo Stadium,Zbyněk Proske,Match Report,
,,,,,,,,,,,
20,Sat,2016-03-05,15:00 ,Bohemians 1905,1–1,Teplice,"4,633",Stadion Ďolíček,Jiri Jech,Match Report,
20,Sat,2016-03-05,15:00 ,Zbrojovka Brno,2–0,Fastav Zlín,"4,342",Městský fotbalový stadion Srbská,Michal Paták,Match Report,
20,Sat,2016-03-05,15:00 ,Vysočina Jihlava,2–1,Sigma Olomouc,"2,893",Stadion v Jiráskově ulici,Jan Jilek,Match Report,
20,Sat,2016-03-05,18:00 ,Mladá Boleslav,2–1,Slavia Prague,"5,000",Adidas Aréna,Petr Ardeleánu,Match Report,
20,Sun,2016-03-06,15:00 ,Slovan Liberec,0–0,Slovácko,"3,318",Stadion u Nisy,Pavel Královec,Match Report,
20,Sun,2016-03-06,15:00 ,Sparta Prague,2–1,Jablonec,"8,935",Generali Arena,Miroslav Zelinka,Match Report,
20,Sun,2016-03-06,15:00 ,Baník Ostrava,1–2,Dukla Prague,"5,339",Bazaly,Jiří Houdek,Match Report,
20,Sun,2016-03-06,18:15 ,Viktoria Plzeň,4–0,Příbram,"9,833",Doosan Arena,Pavel Orel,Match Report,
,,,,,,,,,,,
21,Fri,2016-03-11,17:30 ,Jablonec,1–1,Baník Ostrava,"2,065",Stadion Střelnice,Pavel Královec,Match Report,
21,Fri,2016-03-11,20:15 ,Slavia Prague,1–0,Fastav Zlín,"6,673",Sinobo Stadium,Miroslav Zelinka,Match Report,
21,Sat,2016-03-12,17:00 ,Příbram,0–1,Slovan Liberec,"1,926",Energon Aréna,Karel Hrubes,Match Report,
21,Sat,2016-03-12,17:00 ,Dukla Prague,0–1,Vysočina Jihlava,"1,148",Stadion Juliska,Martin Nenadál,Match Report,
21,Sat,2016-03-12,17:00 ,Slovácko,2–1,Zbrojovka Brno,"4,879",Městský fotbalový stadion Miroslava Vale...,Petr Ardeleánu,Match Report,
21,Sat,2016-03-12,17:00 ,Teplice,0–0,Mladá Boleslav,"3,541",Na Stínadlech,Zbyněk Proske,Match Report,
21,Sat,2016-03-12,20:15 ,Viktoria Plzeň,2–0,Bohemians 1905,"10,365",Doosan Arena,Tomas Kocourek,Match Report,
21,Sun,2016-03-13,15:00 ,Sigma Olomouc,0–2,Sparta Prague,"8,019",Andrův stadion,Michal Paták,Match Report,
,,,,,,,,,,,
22,Fri,2016-03-18,18:00 ,Vysočina Jihlava,1–3,Příbram,"2,856",Stadion v Jiráskově ulici,Jiří Houdek,Match Report,
22,Sat,2016-03-19,15:00 ,Fastav Zlín,0–0,Sigma Olomouc,"3,911",Stadion Letná,Petr Ardeleánu,Match Report,
22,Sat,2016-03-19,15:00 ,Bohemians 1905,2–0,Slovácko,"4,571",Stadion Ďolíček,Jan Jilek,Match Report,
22,Sat,2016-03-19,15:00 ,Baník Ostrava,1–2,Teplice,"4,501",Bazaly,Paval Julínek,Match Report,
22,Sat,2016-03-19,15:00 ,Zbrojovka Brno,3–0,Dukla Prague,"3,942",Městský fotbalový stadion Srbská,Pavel Královec,Match Report,
22,Sat,2016-03-19,18:00 ,Mladá Boleslav,1–0,Jablonec,"2,107",Adidas Aréna,Pavel Orel,Match Report,
22,Sun,2016-03-20,15:45 ,Slovan Liberec,0–1,Viktoria Plzeň,"5,437",Stadion u Nisy,Miroslav Zelinka,Match Report,
22,Sun,2016-03-20,19:30 ,Sparta Prague,3–1,Slavia Prague,"18,684",Generali Arena,Tomas Kocourek,Match Report,
,,,,,,,,,,,
