Game Week,Weekday,Date,Time,Home Team,Score,Away Team,Attendance,Venue,Referee,Match Report,Notes
16,Tue,2017-03-14,17:00 ,Jablonec,2–1,Hradec Králové,"1,644",Stadion Střelnice,Pavel Královec,Match Report,
16,Wed,2017-03-15,17:00 ,Bohemians 1905,0–1,Viktoria Plzeň,"4,912",Stadion Ďolíček,Radek Příhoda,Match Report,
,,,,,,,,,,,
21,Fri,2017-03-17,20:15 ,Sparta Prague,0–0,Fastav Zlín,"7,842",Generali Arena,Radek Příhoda,Match Report,
21,Sat,2017-03-18,16:30 ,Slovan Liberec,1–1,Slavia Prague,"8,880",Stadion u Nisy,Petr Ardeleánu,Match Report,
21,Sat,2017-03-18,20:15 ,Slovácko,2–1,Mladá Boleslav,"3,322",Městský fotbalový stadion Miroslava Vale...,Paval Julínek,Match Report,
21,Sun,2017-03-19,15:00 ,Hradec Králové,0–0,Zbrojovka Brno,"1,931",Všesportovní stadion,Zbyněk Proske,Match Report,
21,Sun,2017-03-19,15:00 ,Jablonec,5–0,Vysočina Jihlava,"1,739",Stadion Střelnice,Radek Dubravsky,Match Report,
21,Sun,2017-03-19,16:30 ,Karviná,2–3,Viktoria Plzeň,"4,830",Městský stadion,Miroslav Zelinka,Match Report,
21,Sun,2017-03-19,17:00 ,Bohemians 1905,1–2,Dukla Prague,"4,202",Stadion Ďolíček,Pavel Franek,Match Report,
,,,,,,,,,,,
22,Fri,2017-03-31,20:15 ,Mladá Boleslav,0–0,Jablonec,"2,810",Adidas Aréna,Miroslav Zelinka,Match Report,
22,Sat,2017-04-01,15:00 ,Slovan Liberec,2–0,Karviná,"3,590",Stadion u Nisy,Ondřej Pechanec,Match Report,
22,Sat,2017-04-01,17:00 ,Fastav Zlín,1–3,Hradec Králové,"4,011",Stadion Letná,J. Machálek,Match Report,
22,Sat,2017-04-01,17:00 ,Vysočina Jihlava,0–0,Slovácko,"2,235",Stadion v Jiráskově ulici,Zbyněk Proske,Match Report,
22,Sat,2017-04-01,17:00 ,Příbram,1–0,Bohemians 1905,"3,128",Energon Aréna,Emanuel Marek,Match Report,
22,Sat,2017-04-01,17:00 ,Zbrojovka Brno,0–0,Dukla Prague,"3,216",Městský fotbalový stadion Srbská,Ondřej Ginzel,Match Report,
22,Sun,2017-04-02,17:30 ,Slavia Prague,1–1,Sparta Prague,"19,084",Sinobo Stadium,Pavel Franek,Match Report,
,,,,,,,,,,,
23,Fri,2017-04-07,18:00 ,Dukla Prague,1–2,Mladá Boleslav,"1,299",Stadion Juliska,Vojtech Severyn,Match Report,
23,Fri,2017-04-07,20:15 ,Hradec Králové,0–1,Viktoria Plzeň,"2,266",Všesportovní stadion,Emanuel Marek,Match Report,
23,Sat,2017-04-08,17:00 ,Slovácko,1–0,Příbram,"3,884",Městský fotbalový stadion Miroslava Vale...,Ondřej Pechanec,Match Report,
23,Sat,2017-04-08,17:00 ,Bohemians 1905,1–0,Vysočina Jihlava,"4,672",Stadion Ďolíček,Paval Julínek,Match Report,
23,Sat,2017-04-08,20:15 ,Karviná,1–2,Slavia Prague,"4,830",Městský stadion,Pavel Orel,Match Report,
23,Sun,2017-04-09,15:00 ,Jablonec,2–0,Fastav Zlín,"3,122",Stadion Střelnice,Zbyněk Proske,Match Report,
23,Sun,2017-04-09,17:30 ,Sparta Prague,3–2,Zbrojovka Brno,"8,997",Generali Arena,Jan Jilek,Match Report,
,,,,,,,,,,,
24,Sat,2017-04-15,15:00 ,Zbrojovka Brno,2–0,Jablonec,"3,133",Městský fotbalový stadion Srbská,Radek Příhoda,Match Report,
24,Sat,2017-04-15,17:00 ,Příbram,4–2,Karviná,"1,928",Energon Aréna,J. Machálek,Match Report,
24,Sat,2017-04-15,17:30 ,Mladá Boleslav,1–1,Bohemians 1905,"3,873",Adidas Aréna,Zbyněk Proske,Match Report,
24,Sat,2017-04-15,20:15 ,Vysočina Jihlava,1–0,Sparta Prague,"4,101",Stadion v Jiráskově ulici,Emanuel Marek,Match Report,
24,Sun,2017-04-16,15:00 ,Slovan Liberec,3–1,Dukla Prague,"3,712",Stadion u Nisy,Paval Julínek,Match Report,
24,Sun,2017-04-16,18:15 ,Viktoria Plzeň,2–0,Slovácko,"10,231",Doosan Arena,Pavel Orel,Match Report,
24,Mon,2017-04-17,17:30 ,Slavia Prague,4–0,Hradec Králové,"9,786",Sinobo Stadium,Jan Jilek,Match Report,
,,,,,,,,,,,
25,Fri,2017-04-21,18:00 ,Dukla Prague,4–1,Vysočina Jihlava,"1,032",Stadion Juliska,Jan Jilek,Match Report,
25,Fri,2017-04-21,20:15 ,Slovácko,0–2,Slavia Prague,"5,648",Městský fotbalový stadion Miroslava Vale...,Pavel Královec,Match Report,
25,Sat,2017-04-22,17:00 ,Hradec Králové,0–1,Slovan Liberec,"2,918",Všesportovní stadion,Radek Příhoda,Match Report,
25,Sat,2017-04-22,17:00 ,Zbrojovka Brno,2–3,Mladá Boleslav,"2,918",Městský fotbalový stadion Srbská,Petr Ardeleánu,Match Report,
25,Sat,2017-04-22,17:30 ,Bohemians 1905,0–2,Fastav Zlín,"4,179",Stadion Ďolíček,Ondřej Pechanec,Match Report,
25,Sun,2017-04-23,13:15 ,Jablonec,2–4,Příbram,"1,440",Stadion Střelnice,Paval Julínek,Match Report,
25,Sun,2017-04-23,17:30 ,Sparta Prague,2–0,Viktoria Plzeň,"16,830",Generali Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
26,Fri,2017-04-28,18:00 ,Vysočina Jihlava,3–0,Zbrojovka Brno,"2,249",Stadion v Jiráskově ulici,Pavel Orel,Match Report,
26,Fri,2017-04-28,20:15 ,Příbram,1–2,Sparta Prague,"4,285",Energon Aréna,Zbyněk Proske,Match Report,
26,Sat,2017-04-29,17:00 ,Fastav Zlín,1–2,Mladá Boleslav,"3,718",Stadion Letná,Emanuel Marek,Match Report,
26,Sat,2017-04-29,20:15 ,Viktoria Plzeň,2–0,Dukla Prague,"10,329",Doosan Arena,Pavel Franek,Match Report,
26,Sun,2017-04-30,17:00 ,Karviná,4–2,Hradec Králové,"3,913",Městský stadion,Jiří Houdek,Match Report,
26,Sun,2017-04-30,17:30 ,Slavia Prague,1–1,Jablonec,"15,873",Sinobo Stadium,Miroslav Zelinka,Match Report,
26,Mon,2017-05-01,17:30 ,Slovan Liberec,4–1,Bohemians 1905,"4,947",Stadion u Nisy,Karel Hrubes,Match Report,
,,,,,,,,,,,
27,Fri,2017-05-05,18:00 ,Dukla Prague,3–1,Příbram,"1,264",Stadion Juliska,Emanuel Marek,Match Report,
27,Sat,2017-05-06,14:00 ,Jablonec,2–2,Viktoria Plzeň,"3,660",Stadion Střelnice,Jan Jilek,Match Report,
27,Sat,2017-05-06,19:00 ,Bohemians 1905,1–3,Slavia Prague,"5,000",Stadion Ďolíček,Pavel Orel,Match Report,
27,Sat,2017-05-06,19:00 ,Slovácko,1–1,Karviná,"3,451",Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske,Match Report,
27,Sun,2017-05-07,17:00 ,Sparta Prague,1–0,Slovan Liberec,"9,664",Generali Arena,J. Machálek,Match Report,
27,Sun,2017-05-07,17:00 ,Zbrojovka Brno,2–0,Fastav Zlín,"4,118",Městský fotbalový stadion Srbská,Karel Hrubes,Match Report,
27,Sun,2017-05-07,17:00 ,Hradec Králové,0–2,Teplice,"1,960",Všesportovní stadion,Miroslav Zelinka,Match Report,
27,Sun,2017-05-07,19:00 ,Mladá Boleslav,3–1,Vysočina Jihlava,"2,471",Adidas Aréna,Pavel Franek,Match Report,
,,,,,,,,,,,
28,Fri,2017-05-12,18:15 ,Viktoria Plzeň,3–3,Mladá Boleslav,"10,488",Doosan Arena,Zbyněk Proske,Match Report,
28,Fri,2017-05-12,20:15 ,Karviná,1–1,Sparta Prague,"4,833",Městský stadion,Paval Julínek,Match Report,
28,Sat,2017-05-13,15:00 ,Příbram,2–3,Zbrojovka Brno,"2,128",Energon Aréna,Pavel Franek,Match Report,
28,Sat,2017-05-13,16:30 ,Slovan Liberec,1–1,Jablonec,"5,400",Stadion u Nisy,Pavel Orel,Match Report,
28,Sat,2017-05-13,17:00 ,Hradec Králové,2–1,Slovácko,"3,022",Všesportovní stadion,Emanuel Marek,Match Report,
28,Sat,2017-05-13,17:00 ,Fastav Zlín,0–3,Vysočina Jihlava,"6,089",Stadion Letná,Miroslav Zelinka,Match Report,
28,Sat,2017-05-13,18:45 ,Slavia Prague,2–2,Dukla Prague,"20,800",Sinobo Stadium,Radek Příhoda,Match Report,
,,,,,,,,,,,
29,Sat,2017-05-20,17:00 ,Vysočina Jihlava,1–1,Příbram,"3,245",Stadion v Jiráskově ulici,Radek Příhoda,Match Report,
29,Sat,2017-05-20,17:00 ,Zbrojovka Brno,0–1,Viktoria Plzeň,"6,158",Městský fotbalový stadion Srbská,Pavel Orel,Match Report,
29,Sat,2017-05-20,17:00 ,Slovácko,0–1,Slovan Liberec,"3,553",Městský fotbalový stadion Miroslava Vale...,Paval Julínek,Match Report,
29,Sat,2017-05-20,17:00 ,Sparta Prague,3–2,Hradec Králové,"8,234",Generali Arena,Jan Jilek,Match Report,
29,Sat,2017-05-20,17:00 ,Dukla Prague,1–0,Fastav Zlín,"1,352",Stadion Juliska,Martin Nenadál,Match Report,
29,Sat,2017-05-20,17:00 ,Mladá Boleslav,1–2,Slavia Prague,"3,718",Adidas Aréna,Miroslav Zelinka,Match Report,
29,Sat,2017-05-20,17:00 ,Bohemians 1905,2–0,Karviná,"4,399",Stadion Ďolíček,Pavel Franek,Match Report,
,,,,,,,,,,,
30,Sat,2017-05-27,17:00 ,Karviná,0–2,Jablonec,"3,228",Městský stadion,Martin Nenadál,Match Report,
30,Sat,2017-05-27,17:00 ,Slovan Liberec,4–0,Mladá Boleslav,"4,280",Stadion u Nisy,Emanuel Marek,Match Report,
30,Sat,2017-05-27,17:00 ,Hradec Králové,1–0,Bohemians 1905,"1,495",Všesportovní stadion,Radek Matějek,Match Report,
30,Sat,2017-05-27,17:00 ,Slovácko,1–1,Sparta Prague,"6,082",Městský fotbalový stadion Miroslava Vale...,Ondřej Ginzel,Match Report,
30,Sat,2017-05-27,17:00 ,Příbram,0–2,Fastav Zlín,"1,118",Energon Aréna,J. Machálek,Match Report,
30,Sat,2017-05-27,17:00 ,Slavia Prague,4–0,Zbrojovka Brno,"12,300",Sinobo Stadium,Zbyněk Proske,Match Report,
30,Sat,2017-05-27,17:00 ,Viktoria Plzeň,2–0,Vysočina Jihlava,"10,493",Doosan Arena,Miroslav Zelinka,Match Report,
1,Fri,2017-07-28,18:00 ,Zbrojovka Brno,1–3,Baník Ostrava,"8,026",Městský fotbalový stadion Srbská,Zbyněk Proske,Match Report,
1,Sat,2017-07-29,17:00 ,Karviná,2–0,Vysočina Jihlava,"3,423",Městský stadion,Pavel Franek,Match Report,
1,Sat,2017-07-29,17:00 ,Viktoria Plzeň,4–0,Dukla Prague,"9,624",Doosan Arena,Radek Příhoda,Match Report,
1,Sat,2017-07-29,17:00 ,Slovácko,1–1,Jablonec,"4,015",Městský fotbalový stadion Miroslava Vale...,Jan Jilek,Match Report,
1,Sun,2017-07-30,17:00 ,Slovan Liberec,1–0,Fastav Zlín,"4,894",Stadion u Nisy,Karel Hrubes,Match Report,
1,Sun,2017-07-30,17:00 ,Mladá Boleslav,1–2,Sigma Olomouc,"3,577",Adidas Aréna,Miroslav Zelinka,Match Report,
1,Sun,2017-07-30,19:00 ,Sparta Prague,1–1,Bohemians 1905,"16,724",Generali Arena,Paval Julínek,Match Report,
,,,,,,,,,,,
2,Sat,2017-08-05,17:00 ,Sigma Olomouc,2–1,Slovan Liberec,"3,731",Andrův stadion,Paval Julínek,Match Report,
2,Sat,2017-08-05,17:00 ,Bohemians 1905,2–1,Karviná,"4,192",Stadion Ďolíček,Petr Ardeleánu,Match Report,
2,Sat,2017-08-05,17:00 ,Fastav Zlín,2–1,Zbrojovka Brno,"4,917",Stadion Letná,Martin Nenadál,Match Report,
2,Sun,2017-08-06,16:00 ,Jablonec,0–1,Viktoria Plzeň,"3,870",Stadion Střelnice,Pavel Královec,Match Report,
2,Sun,2017-08-06,16:00 ,Vysočina Jihlava,0–0,Slovácko,"2,893",Stadion v Jiráskově ulici,Emanuel Marek,Match Report,
2,Sun,2017-08-06,18:00 ,Baník Ostrava,0–0,Slavia Prague,"13,056",Bazaly,Radek Příhoda,Match Report,
2,Mon,2017-08-07,17:00 ,Mladá Boleslav,0–1,Sparta Prague,"5,000",Adidas Aréna,Jan Jilek,Match Report,
,,,,,,,,,,,
3,Fri,2017-08-11,18:00 ,Slavia Prague,2–0,Vysočina Jihlava,"10,112",Sinobo Stadium,Martin Nenadál,Match Report,
3,Sat,2017-08-12,16:00 ,Zbrojovka Brno,0–0,Bohemians 1905,"3,480",Městský fotbalový stadion Srbská,Karel Hrubes,Match Report,
3,Sat,2017-08-12,16:00 ,Viktoria Plzeň,1–0,Sigma Olomouc,"10,135",Doosan Arena,Ondřej Pechanec,Match Report,
3,Sat,2017-08-12,16:00 ,Slovácko,5–2,Baník Ostrava,"6,115",Městský fotbalový stadion Miroslava Vale...,Pavel Franek,Match Report,
3,Sun,2017-08-13,17:00 ,Dukla Prague,1–0,Fastav Zlín,"2,359",Stadion Juliska,Ondřej Ginzel,Match Report,
3,Sun,2017-08-13,17:00 ,Karviná,1–1,Mladá Boleslav,"4,025",Městský stadion,Pavel Královec,Match Report,
3,Sun,2017-08-13,18:00 ,Slovan Liberec,1–1,Sparta Prague,"9,900",Stadion u Nisy,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
4,Fri,2017-08-18,20:15 ,Sparta Prague,1–0,Slovácko,"11,696",Generali Arena,Pavel Královec,Match Report,
4,Sat,2017-08-19,17:00 ,Fastav Zlín,1–0,Karviná,"3,925",Stadion Letná,Emanuel Marek,Match Report,
4,Sat,2017-08-19,18:00 ,Bohemians 1905,0–0,Slavia Prague,"4,812",Stadion Ďolíček,Zbyněk Proske,Match Report,
4,Sat,2017-08-19,20:00 ,Mladá Boleslav,0–3,Slovan Liberec,"2,834",Adidas Aréna,Karel Hrubes,Match Report,
4,Sun,2017-08-20,17:00 ,Vysočina Jihlava,1–2,Viktoria Plzeň,"4,013",Stadion v Jiráskově ulici,Paval Julínek,Match Report,
4,Sun,2017-08-20,17:00 ,Jablonec,2–2,Dukla Prague,"2,812",Stadion Střelnice,Jiří Houdek,Match Report,
4,Sun,2017-08-20,17:00 ,Sigma Olomouc,3–0,Zbrojovka Brno,"4,815",Andrův stadion,Jan Jilek,Match Report,
,,,,,,,,,,,
5,Fri,2017-08-25,18:00 ,Dukla Prague,2–0,Bohemians 1905,"5,127",Stadion Juliska,Martin Nenadál,Match Report,
5,Sat,2017-08-26,16:00 ,Karviná,0–1,Slovan Liberec,"2,813",Městský stadion,Zbyněk Proske,Match Report,
5,Sat,2017-08-26,17:00 ,Zbrojovka Brno,2–0,Sparta Prague,"8,016",Městský fotbalový stadion Srbská,Radek Příhoda,Match Report,
5,Sat,2017-08-26,19:00 ,Slovácko,0–0,Sigma Olomouc,"4,495",Městský fotbalový stadion Miroslava Vale...,Ondřej Ginzel,Match Report,
5,Sun,2017-08-27,16:00 ,Jablonec,2–0,Fastav Zlín,"2,950",Stadion Střelnice,Ondřej Pechanec,Match Report,
5,Sun,2017-08-27,16:30 ,Slavia Prague,4–0,Mladá Boleslav,"10,911",Sinobo Stadium,Pavel Franek,Match Report,
5,Sun,2017-08-27,17:00 ,Teplice,3–1,Vysočina Jihlava,"4,652",Na Stínadlech,J. Machálek,Match Report,
5,Sun,2017-08-27,18:30 ,Viktoria Plzeň,3–0,Baník Ostrava,"10,407",Doosan Arena,Karel Hrubes,Match Report,
,,,,,,,,,,,
6,Sat,2017-09-09,16:00 ,Slovan Liberec,0–3,Viktoria Plzeň,"6,530",Stadion u Nisy,Emanuel Marek,Match Report,
6,Sat,2017-09-09,17:00 ,Bohemians 1905,1–0,Slovácko,"4,041",Stadion Ďolíček,Milan Matejcek,Match Report,
6,Sat,2017-09-09,17:00 ,Baník Ostrava,2–2,Jablonec,"6,215",Bazaly,Ondřej Berka,Match Report,
6,Sat,2017-09-09,18:00 ,Sigma Olomouc,1–1,Slavia Prague,"9,171",Andrův stadion,Pavel Královec,Match Report,
6,Sun,2017-09-10,15:00 ,Mladá Boleslav,3–0,Zbrojovka Brno,"2,831",Adidas Aréna,Petr Ardeleánu,Match Report,
6,Sun,2017-09-10,18:00 ,Sparta Prague,2–0,Karviná,"9,320",Generali Arena,Martin Nenadál,Match Report,
6,Sun,2017-09-10,18:00 ,Vysočina Jihlava,3–2,Dukla Prague,"2,462",Stadion v Jiráskově ulici,Zbyněk Proske,Match Report,
,,,,,,,,,,,
7,Fri,2017-09-15,18:00 ,Dukla Prague,2–0,Baník Ostrava,"3,359",Stadion Juliska,Pavel Franek,Match Report,
7,Sat,2017-09-16,17:00 ,Karviná,3–5,Sigma Olomouc,"3,186",Městský stadion,Radek Příhoda,Match Report,
7,Sat,2017-09-16,17:00 ,Zbrojovka Brno,1–2,Slovan Liberec,"3,018",Městský fotbalový stadion Srbská,Pavel Královec,Match Report,
7,Sat,2017-09-16,19:00 ,Slovácko,0–1,Mladá Boleslav,"3,967",Městský fotbalový stadion Miroslava Vale...,Ondřej Berka,Match Report,
7,Sun,2017-09-17,15:00 ,Jablonec,5–0,Vysočina Jihlava,"2,215",Stadion Střelnice,Milan Matejcek,Match Report,
7,Sun,2017-09-17,18:00 ,Slavia Prague,2–0,Sparta Prague,"19,084",Sinobo Stadium,Jan Jilek,Match Report,
7,Mon,2017-09-18,18:00 ,Viktoria Plzeň,2–1,Fastav Zlín,"9,128",Doosan Arena,Martin Nenadál,Match Report,
,,,,,,,,,,,
8,Sat,2017-09-23,17:00 ,Bohemians 1905,0–1,Jablonec,"4,238",Stadion Ďolíček,Emanuel Marek,Match Report,
8,Sat,2017-09-23,17:00 ,Sigma Olomouc,3–0,Dukla Prague,"3,657",Andrův stadion,Ondřej Berka,Match Report,
8,Sat,2017-09-23,17:00 ,Fastav Zlín,1–1,Slavia Prague,"5,564",Stadion Letná,Pavel Královec,Match Report,
8,Sat,2017-09-23,18:00 ,Mladá Boleslav,0–2,Viktoria Plzeň,"3,098",Adidas Aréna,Pavel Franek,Match Report,
8,Sun,2017-09-24,17:00 ,Karviná,2–1,Zbrojovka Brno,"3,373",Městský stadion,Ondřej Pechanec,Match Report,
8,Sun,2017-09-24,17:00 ,Vysočina Jihlava,2–1,Baník Ostrava,"3,448",Stadion v Jiráskově ulici,Miroslav Zelinka,Match Report,
8,Mon,2017-09-25,19:00 ,Slovan Liberec,1–1,Slovácko,"3,895",Stadion u Nisy,Radek Příhoda,Match Report,
,,,,,,,,,,,
9,Sat,2017-09-30,17:00 ,Slovácko,0–0,Karviná,"3,895",Městský fotbalový stadion Miroslava Vale...,Ondřej Lerch,Match Report,
9,Sat,2017-09-30,20:00 ,Dukla Prague,0–0,Sparta Prague,"6,547",Stadion Juliska,Karel Hrubes,Match Report,
9,Sun,2017-10-01,15:00 ,Viktoria Plzeň,2–1,Bohemians 1905,"10,712",Doosan Arena,Ondřej Berka,Match Report,
9,Sun,2017-10-01,17:00 ,Jablonec,3–1,Mladá Boleslav,"3,008",Stadion Střelnice,Miroslav Zelinka,Match Report,
9,Sun,2017-10-01,17:00 ,Baník Ostrava,2–2,Fastav Zlín,"6,373",Bazaly,Emanuel Marek,Match Report,
9,Sun,2017-10-01,17:00 ,Vysočina Jihlava,0–1,Sigma Olomouc,"3,043",Stadion v Jiráskově ulici,Petr Ardeleánu,Match Report,
9,Sun,2017-10-01,18:00 ,Slavia Prague,2–0,Zbrojovka Brno,"11,467",Sinobo Stadium,Martin Nenadál,Match Report,
,,,,,,,,,,,
10,Fri,2017-10-13,20:15 ,Bohemians 1905,2–1,Baník Ostrava,"3,872",Stadion Ďolíček,Petr Ardeleánu,Match Report,
10,Sat,2017-10-14,17:00 ,Fastav Zlín,2–1,Vysočina Jihlava,"4,056",Stadion Letná,Martin Nenadál,Match Report,
10,Sat,2017-10-14,17:00 ,Sigma Olomouc,0–0,Jablonec,"4,543",Andrův stadion,Zbyněk Proske,Match Report,
10,Sat,2017-10-14,17:00 ,Slovan Liberec,3–0,Dukla Prague,"3,929",Stadion u Nisy,Milan Matejcek,Match Report,
10,Sat,2017-10-14,17:00 ,Zbrojovka Brno,2–1,Slovácko,"3,806",Městský fotbalový stadion Srbská,Karel Hrubes,Match Report,
10,Sat,2017-10-14,20:00 ,Karviná,0–2,Slavia Prague,"4,586",Městský stadion,Miroslav Zelinka,Match Report,
10,Sun,2017-10-15,18:00 ,Sparta Prague,0–1,Viktoria Plzeň,"17,134",Generali Arena,Radek Příhoda,Match Report,
,,,,,,,,,,,
11,Thu,2017-10-19,18:00 ,Dukla Prague,1–1,Slovácko,"1,332",Stadion Juliska,Pavel Orel,Match Report,
11,Fri,2017-10-20,18:00 ,Vysočina Jihlava,2–4,Bohemians 1905,"3,360",Stadion v Jiráskově ulici,Roman Hrubes,Match Report,
11,Fri,2017-10-20,20:15 ,Baník Ostrava,1–1,Sigma Olomouc,"5,617",Bazaly,Miroslav Zelinka,Match Report,
11,Sat,2017-10-21,18:15 ,Jablonec,0–3,Sparta Prague,"4,880",Stadion Střelnice,Petr Ardeleánu,Match Report,
11,Sun,2017-10-22,17:00 ,Viktoria Plzeň,3–0,Zbrojovka Brno,"9,740",Doosan Arena,Ondřej Ginzel,Match Report,
11,Sun,2017-10-22,18:00 ,Fastav Zlín,1–5,Mladá Boleslav,"3,846",Stadion Letná,Paval Julínek,Match Report,
11,Sun,2017-10-22,18:00 ,Slavia Prague,1–2,Slovan Liberec,"14,067",Sinobo Stadium,Ondřej Pechanec,Match Report,
,,,,,,,,,,,
12,Fri,2017-10-27,20:15 ,Karviná,1–3,Viktoria Plzeň,"3,746",Městský stadion,Zbyněk Proske,Match Report,
12,Sat,2017-10-28,17:00 ,Slovan Liberec,4–1,Jablonec,"6,523",Stadion u Nisy,Karel Hrubes,Match Report,
12,Sat,2017-10-28,17:00 ,Zbrojovka Brno,0–0,Dukla Prague,"3,012",Městský fotbalový stadion Srbská,Petr Ardeleánu,Match Report,
12,Sat,2017-10-28,17:00 ,Bohemians 1905,1–1,Fastav Zlín,"4,004",Stadion Ďolíček,Miroslav Zelinka,Match Report,
12,Sun,2017-10-29,15:00 ,Mladá Boleslav,2–1,Vysočina Jihlava,"1,308",Adidas Aréna,Ondřej Lerch,Match Report,
12,Sun,2017-10-29,15:45 ,Slovácko,0–3,Slavia Prague,"4,365",Městský fotbalový stadion Miroslava Vale...,Paval Julínek,Match Report,
12,Sun,2017-10-29,18:00 ,Sparta Prague,3–2,Baník Ostrava,"9,125",Generali Arena,Pavel Královec,Match Report,
,,,,,,,,,,,
13,Sat,2017-11-04,15:00 ,Baník Ostrava,0–1,Mladá Boleslav,"5,505",Bazaly,Ondřej Berka,Match Report,
13,Sat,2017-11-04,15:00 ,Dukla Prague,3–2,Karviná,"1,626",Stadion Juliska,Ondřej Pechanec,Match Report,
13,Sat,2017-11-04,15:00 ,Vysočina Jihlava,3–1,Slovan Liberec,"2,063",Stadion v Jiráskově ulici,Emanuel Marek,Match Report,
13,Sat,2017-11-04,18:00 ,Bohemians 1905,1–1,Sigma Olomouc,"3,798",Stadion Ďolíček,Paval Julínek,Match Report,
13,Sun,2017-11-05,14:00 ,Jablonec,1–0,Zbrojovka Brno,"2,083",Stadion Střelnice,Pavel Orel,Match Report,
13,Sun,2017-11-05,16:00 ,Fastav Zlín,2–2,Sparta Prague,"5,492",Stadion Letná,Zbyněk Proske,Match Report,
13,Sun,2017-11-05,18:00 ,Viktoria Plzeň,1–0,Slavia Prague,"11,640",Doosan Arena,Radek Příhoda,Match Report,
,,,,,,,,,,,
14,Fri,2017-11-17,15:00 ,Sparta Prague,1–0,Vysočina Jihlava,"7,165",Generali Arena,Miroslav Zelinka,Match Report,
14,Sat,2017-11-18,16:00 ,Zbrojovka Brno,1–0,Teplice,"3,218",Městský fotbalový stadion Srbská,Jan Jilek,Match Report,
14,Sat,2017-11-18,16:00 ,Sigma Olomouc,2–0,Fastav Zlín,"4,159",Andrův stadion,Petr Ardeleánu,Match Report,
14,Sat,2017-11-18,16:00 ,Slovan Liberec,2–1,Baník Ostrava,"4,785",Stadion u Nisy,Paval Julínek,Match Report,
14,Sat,2017-11-18,18:00 ,Slavia Prague,5–0,Dukla Prague,"10,505",Sinobo Stadium,Pavel Královec,Match Report,
14,Sat,2017-11-18,20:00 ,Slovácko,1–4,Viktoria Plzeň,"4,302",Městský fotbalový stadion Miroslava Vale...,Pavel Franek,Match Report,
14,Sun,2017-11-19,15:00 ,Karviná,2–1,Jablonec,"3,125",Městský stadion,Martin Nenadál,Match Report,
14,Sun,2017-11-19,15:00 ,Mladá Boleslav,1–2,Bohemians 1905,"3,020",Adidas Aréna,Pavel Orel,Match Report,
,,,,,,,,,,,
15,Fri,2017-11-24,17:30 ,Dukla Prague,4–1,Mladá Boleslav,"1,391",Stadion Juliska,Paval Julínek,Match Report,
15,Fri,2017-11-24,18:00 ,Vysočina Jihlava,0–2,Zbrojovka Brno,"2,455",Stadion v Jiráskově ulici,Ondřej Berka,Match Report,
15,Fri,2017-11-24,20:15 ,Bohemians 1905,0–0,Slovan Liberec,"4,189",Stadion Ďolíček,Jan Jilek,Match Report,
15,Sat,2017-11-25,18:30 ,Baník Ostrava,2–1,Karviná,"6,009",Bazaly,Petr Ardeleánu,Match Report,
15,Sun,2017-11-26,18:00 ,Sigma Olomouc,1–0,Sparta Prague,"11,028",Andrův stadion,Pavel Královec,Match Report,
15,Mon,2017-11-27,17:30 ,Jablonec,1–1,Slavia Prague,"3,038",Stadion Střelnice,Emanuel Marek,Match Report,
15,Mon,2017-11-27,17:30 ,Fastav Zlín,2–1,Slovácko,"4,002",Stadion Letná,Radek Příhoda,Match Report,
,,,,,,,,,,,
16,Fri,2017-12-01,19:30 ,Slavia Prague,2–1,Baník Ostrava,"11,087",Sinobo Stadium,Jan Jilek,Match Report,
16,Sat,2017-12-02,15:00 ,Karviná,1–0,Bohemians 1905,"2,752",Městský stadion,Pavel Franek,Match Report,
16,Sat,2017-12-02,15:00 ,Zbrojovka Brno,1–1,Fastav Zlín,"3,518",Městský fotbalový stadion Srbská,Ondřej Pechanec,Match Report,
16,Sat,2017-12-02,15:00 ,Slovácko,2–1,Vysočina Jihlava,"3,594",Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske,Match Report,
16,Sat,2017-12-02,15:00 ,Slovan Liberec,1–0,Sigma Olomouc,"3,834",Stadion u Nisy,Pavel Orel,Match Report,
16,Sat,2017-12-02,19:00 ,Viktoria Plzeň,2–0,Jablonec,"8,132",Doosan Arena,Pavel Královec,Match Report,
16,Sun,2017-12-03,18:00 ,Sparta Prague,3–0,Mladá Boleslav,"6,234",Generali Arena,Karel Hrubes,Match Report,
,,,,,,,,,,,
17,Sat,2018-02-17,15:00 ,Baník Ostrava,1–2,Slovácko,"6,074",Bazaly,Karel Hrubes,Match Report,
17,Sat,2018-02-17,15:00 ,Mladá Boleslav,0–1,Karviná,"2,166",Adidas Aréna,Paval Julínek,Match Report,
17,Sat,2018-02-17,15:00 ,Fastav Zlín,1–1,Dukla Prague,"3,024",Stadion Letná,Radek Příhoda,Match Report,
17,Sat,2018-02-17,16:30 ,Vysočina Jihlava,1–0,Slavia Prague,"3,789",Stadion v Jiráskově ulici,Ondřej Pechanec,Match Report,
17,Sat,2018-02-17,18:30 ,Bohemians 1905,1–0,Zbrojovka Brno,"3,855",Stadion Ďolíček,Pavel Franek,Match Report,
