Player,Foot,Market Value
Jiri Kladrubsky,right,100
Patrik Cavos,-,450
Petr Javorek,right,200
Filip Havelka,-,450
Matej Mrsic,left,350
Marko Alvir,right,500
Matej Valenta,-,200
Jonas Vais,-,150
Patrik Brandner,right,550
Lukas Janosik,right,250
Karol Mészáros,right,250
Ubong Ekpai,-,250
David Ledecky,-,250
Dame Diop,both,200
Vilém Fendrich,-,250
Vojtech Srom,-,150
Tomas Digana,-,125
Krystof Lasak,-,50
David Brezina,-,250
Joss Didiba,both,200
Jan Zidek,left,150
Adam Rychly,-,150
Dalibor Vecerka,left,100
Matej Helesic,left,250
Matej Hrabina,-,250
Stepan Harazim,-,200
Denis Darmovzal,-,25
Jan Reznicek,-,200
Christ Tiehi,right,200
Josef Hnanicek,-,200
Jiri Kulhanek,right,200
Jan Schaffartzik,-,150
Nataniel Wybraniec,both,50
Ales Nesicky,-,250
Bojan Djordjic,both,300
Lukas Kania,-,200
Dominik Smekal,-,75
Patrik Hellebrand,-,350
Lukas Holik,-,250
Bartosz Pikul,-,150
Karol Mondek,right,200
Bidje Manzia,-,100
Tomas Cvancara,right,300
Vaclav Jurena,right,200
Rene Dedic,-,200
Tomas Smola,-,150
Martin Melichar,-,250
Ondrej Koci,right,250
Jakub Siman,-,150
Jaroslav Tregler,-,300
Olivier Kingue,left,250
Jan Kvida,right,200
Stefan Vilotic,left,125
Idrissa Diarra,right,100
Mihailo Cmiljanovic,-,250
Tomas Jablonsky,left,100
Martin Novy,right,300
Vaclav Svoboda,-,150
Adam Petrak,-,75
Karel Soldat,-,200
Filip Zorvan,right,350
Emmanuel Antwi,left,300
Tomas Pilik,right,200
Jiri Januska,-,200
Pavel Hajek,-,150
Denis Lanka,-,150
Stanislav Vavra,right,350
Jan Dil,-,75
Jan Rezek,both,100
Tomas Docekal,right,150
Radek Voltr,right,150
Martin Jindracek,right,100
Chris Cortez,right,100

